	observed_species	shannon	singles
JGI24694J35173	13.0	3.64022392894	11.0
Ga0066703	130.0	6.76365561782	103.0
Ga0066690	162.0	7.04605095668	125.0
Ga0066696	239.0	7.51319264289	190.0
JGI24817J26689	46.0	4.97257388361	36.0
Ga0163110	72.0	5.82301131386	61.0
Ga0163109	67.0	5.91869058029	47.0
Ga0164315	161.0	6.92974736071	110.0
Ga0164311	42.0	5.30468244977	34.0
Ga0164313	161.0	6.9474957414	113.0
Ga0136651	29.0	4.79334519419	24.0
Ga0133913	220.0	7.37678585581	158.0
Ga0116173	17.0	4.00488616409	12.0
Ga0116159	14.0	3.36129435352	12.0
Ga0116158	45.0	5.40217481421	40.0
Ga0114962	46.0	5.44461180768	39.0
Ga0075420	499.0	8.67378448632	402.0
Ga0066845	54.0	5.5710442309	43.0
JGI24770J26754	89.0	6.20883511332	74.0
2001296221	1.0	-0.0	1.0
Ga0116193	52.0	5.58718199584	45.0
JGI20193J14888	6.0	2.52164063634	5.0
JGIcombinedJ21912	50.0	5.4989395739	38.0
JGI12635J15846	122.0	6.5000301121	91.0
JGI11823J13286	12.0	3.5	8.0
JGI11915J12861	8.0	2.94770277922	7.0
Ga0097691	30.0	4.85140976556	29.0
JGI12654J13325	9.0	3.16992500144	9.0
JGI12703J13194	3.0	1.5	2.0
Ga0066692	132.0	6.70270611961	101.0
JGI12023J11887	10.0	3.23592635063	6.0
Ga0102916	43.0	5.37662916739	38.0
Ga0102920	61.0	5.85388489725	51.0
Ga0102812	145.0	7.00378276802	117.0
Ga0102814	162.0	7.16088860159	127.0
JGI12547J11936	14.0	3.75	12.0
Ga0105055	46.0	5.30820998591	38.0
Ga0105054	42.0	5.15688908652	38.0
JGI20235J16296	12.0	3.46772010047	11.0
Ga0151147	31.0	4.65179885251	22.0
Ga0123351	42.0	5.18200581476	34.0
Ga0151148	3.0	1.5	2.0
Ga0123350	36.0	4.97557893582	20.0
Ga0151146	6.0	2.52164063634	5.0
Ga0123349	1.0	-0.0	1.0
Ga0136559	17.0	4.05881389033	16.0
Ga0136586	14.0	3.69011651759	12.0
Ga0136587	14.0	3.77355726228	13.0
Ga0075367	304.0	7.52810404738	219.0
